-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 
Location: Latitude  40.7578   Longitude -74.1716 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS50M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 50 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS50M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 50 Meters (m/s) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
40.75781,-74.17159,2019,01,19,    8.50,    3.21,   89.90,    5.95,   -0.61,   -2.27,   -2.29,    1.77,   -4.18,   -0.79,    5.57,    3.84,    2.56,    1.89,    8.14,    5.72,    4.86,    2.94
40.75781,-74.17159,2019,01,20,   34.13,    3.48,  100.00,   16.15,   -1.83,   -2.01,   -3.05,    4.71,  -11.44,   -2.01,    7.62,    6.49,    5.04,    2.46,   12.66,    8.94,    9.87,    6.30
40.75781,-74.17159,2019,01,21,    0.14,    1.00,   76.49,    4.50,  -11.84,  -16.96,  -15.57,  -11.51,  -16.00,  -13.73,    3.04,    2.28,    9.95,    6.51,   12.99,    8.79,   11.66,    7.97
40.75781,-74.17159,2019,01,22,    0.00,    1.50,   74.10,   10.90,   -7.61,  -11.87,  -11.21,   -2.89,  -13.78,   -8.09,    8.52,    5.42,    0.78,    0.59,    9.30,    6.01,    5.00,    3.21
40.75781,-74.17159,2019,01,23,    1.00,    3.59,   95.11,   10.08,   -0.05,   -0.69,   -1.21,    4.85,   -5.24,    0.02,    4.72,    2.19,    5.39,    3.22,   10.11,    5.41,    7.25,    4.10
40.75781,-74.17159,2019,01,24,   41.78,    6.01,   99.98,   13.80,    5.57,    6.25,    5.54,   12.12,   -1.68,    6.26,    6.76,    4.50,    7.90,    4.71,   14.65,    9.21,   11.02,    6.71
40.75781,-74.17159,2019,01,25,    0.00,    2.63,   78.48,    6.07,   -1.46,   -4.96,   -4.82,    1.54,   -4.53,   -1.72,    4.48,    3.70,    4.94,    2.61,    9.42,    6.31,    7.04,    4.32
40.75781,-74.17159,2019,01,26,    0.00,    2.12,   71.96,    6.42,   -2.86,   -7.61,   -7.32,   -0.18,   -6.61,   -3.30,    2.33,    1.46,    2.51,    1.57,    4.85,    3.03,    3.68,    2.30
40.75781,-74.17159,2019,01,27,    0.01,    3.57,   91.75,   10.52,    0.01,   -0.86,   -1.13,    5.37,   -5.16,    0.35,    5.33,    3.93,    3.99,    2.18,    9.32,    6.11,    7.06,    3.89
40.75781,-74.17159,2019,01,28,    0.00,    2.14,   74.87,    6.14,   -3.20,   -7.58,   -7.33,   -1.12,   -7.27,   -3.80,    3.69,    3.08,    2.75,    1.68,    6.43,    4.75,    4.61,    3.07
40.75781,-74.17159,2019,01,29,    7.97,    3.26,   96.59,   10.09,   -1.79,   -2.14,   -2.60,    2.57,   -7.52,   -1.65,    4.25,    3.24,    3.45,    1.83,    7.69,    5.06,    5.48,    3.26
40.75781,-74.17159,2019,01,30,    0.22,    1.64,   77.82,   15.20,   -6.89,  -11.03,  -10.98,   -1.67,  -16.87,   -7.84,    9.48,    6.72,    4.66,    3.37,   14.14,   10.09,    8.59,    5.92
40.75781,-74.17159,2019,01,31,    0.00,    0.96,   73.97,    8.27,  -12.14,  -17.38,  -16.03,   -9.70,  -17.98,  -13.76,    0.98,    1.58,    6.00,    3.31,    6.98,    4.89,    6.48,    4.33
40.75781,-74.17159,2019,02,01,    0.26,    1.18,   77.20,    6.63,  -10.90,  -14.90,  -13.79,   -8.28,  -14.92,  -11.72,    3.42,    1.67,    2.36,    1.46,    5.78,    3.13,    3.87,    2.30
40.75781,-74.17159,2019,02,02,    0.00,    2.03,   88.50,   12.78,   -6.15,   -8.22,   -8.47,   -0.74,  -13.52,   -6.61,    5.62,    3.76,    1.94,    1.42,    7.55,    5.18,    5.19,    3.36
40.75781,-74.17159,2019,02,03,    0.01,    3.54,   94.15,   12.44,   -0.13,   -0.93,   -1.18,    7.05,   -5.39,   -0.08,    5.23,    2.24,    1.33,    1.07,    6.56,    3.30,    4.15,    2.23
40.75781,-74.17159,2019,02,04,    0.06,    4.67,   98.34,   10.65,    2.77,    2.88,    2.65,   10.40,   -0.25,    3.13,    4.92,    1.98,    1.34,    1.01,    6.26,    3.00,    4.08,    2.14
40.75781,-74.17159,2019,02,05,    0.07,    5.75,   97.04,   14.65,    5.52,    5.79,    5.30,   14.99,    0.34,    6.24,    3.83,    1.98,    3.78,    2.08,    7.61,    4.07,    5.53,    2.76
40.75781,-74.17159,2019,02,06,   11.30,    3.97,   89.31,    8.16,    2.20,    0.64,    0.56,    6.12,   -2.04,    2.24,    2.68,    1.50,    3.49,    1.94,    6.17,    3.44,    4.82,    2.82
40.75781,-74.17159,2019,02,07,    3.74,    4.88,   97.18,    4.31,    3.87,    3.49,    3.49,    6.34,    2.04,    3.91,    2.41,    1.97,    2.45,    1.22,    4.86,    3.19,    3.81,    2.37
40.75781,-74.17159,2019,02,08,    6.33,    4.32,   87.75,   12.25,    3.35,    1.75,    1.29,    9.40,   -2.86,    3.61,    8.23,    5.82,    4.64,    2.40,   12.87,    8.21,    8.35,    5.09
40.75781,-74.17159,2019,02,09,    0.00,    2.02,   70.75,    4.38,   -2.87,   -8.10,   -7.69,   -1.05,   -5.43,   -3.59,    6.05,    4.35,    5.08,    3.07,   11.13,    7.42,    8.69,    5.72
40.75781,-74.17159,2019,02,10,    0.12,    2.24,   76.01,    8.94,   -2.47,   -6.80,   -6.62,    0.74,   -8.21,   -3.19,    2.48,    1.50,    2.47,    1.43,    4.95,    2.93,    3.61,    2.19
40.75781,-74.17159,2019,02,11,    0.50,    2.94,   83.34,    4.13,   -0.53,   -3.34,   -3.22,    1.63,   -2.51,   -0.86,    2.72,    1.77,    2.00,    1.03,    4.72,    2.80,    3.29,    2.00
40.75781,-74.17159,2019,02,12,   19.14,    3.18,   93.83,    5.84,   -1.32,   -2.40,   -2.66,    1.81,   -4.03,   -1.51,    4.52,    4.31,    4.56,    2.23,    9.08,    6.55,    7.39,    5.04
40.75781,-74.17159,2019,02,13,    4.46,    3.53,   89.01,    4.61,    0.34,   -1.17,   -1.20,    2.55,   -2.06,    0.45,    7.54,    4.99,    2.63,    1.56,   10.18,    6.54,    7.90,    4.95
40.75781,-74.17159,2019,02,14,    0.02,    3.20,   84.36,    7.10,   -0.10,   -2.34,   -2.35,    3.90,   -3.20,   -0.01,    4.42,    2.94,    3.90,    2.10,    8.32,    5.03,    6.50,    3.74
40.75781,-74.17159,2019,02,15,    0.11,    5.51,   96.14,    8.97,    5.07,    5.08,    4.86,   10.38,    1.40,    5.67,    2.55,    1.60,    6.74,    3.48,    9.29,    5.08,    7.59,    4.21
40.75781,-74.17159,2019,02,16,    0.00,    3.16,   80.91,    7.85,    0.48,   -2.54,   -2.55,    4.01,   -3.84,    0.36,    1.51,    1.47,    5.59,    2.96,    7.11,    4.44,    6.32,    3.84
40.75781,-74.17159,2019,02,17,    3.18,    2.67,   79.03,    6.03,   -0.88,   -4.71,   -4.63,    1.38,   -4.66,   -1.56,    4.40,    2.37,    1.20,    0.93,    5.59,    3.29,    3.53,    2.27
40.75781,-74.17159,2019,02,18,    2.36,    3.40,   90.04,    9.66,    0.04,   -1.57,   -1.76,    4.19,   -5.47,   -0.10,    8.55,    5.72,    2.22,    1.41,   10.78,    7.13,    6.45,    4.17
40.75781,-74.17159,2019,02,19,    0.00,    2.09,   74.69,    7.27,   -3.20,   -7.68,   -7.32,    0.35,   -6.92,   -3.86,    3.25,    2.46,    3.87,    2.18,    7.12,    4.64,    5.42,    3.48
40.75781,-74.17159,2019,02,20,   17.29,    2.63,   86.64,    5.31,   -2.32,   -4.77,   -4.82,    0.19,   -5.12,   -2.83,    3.91,    2.64,    2.44,    1.50,    6.35,    4.13,    3.81,    2.56
40.75781,-74.17159,2019,02,21,    2.77,    4.04,   93.48,    5.02,    1.45,    0.82,    0.83,    5.10,    0.08,    1.78,    5.06,    2.92,    2.87,    1.38,    7.93,    4.30,    6.35,    3.27
